,regressor,col_list,train_score,train_mae,test_mse,test_mae
86,PLSRegression,"['GPA', 'Reviewer', 'High School']",5.312672603415355,1.6614145538752212,25.658448055502568,3.656756880177282
87,PLSRegression,"['STEM', 'High School', 'Weighted GPA']",7.5305556013790875,2.1285242692141155,17.617809217459268,3.384134086514294
88,PLSRegression,"['Reviewer', 'High School', 'Weighted GPA']",7.840913668548367,2.156552617321419,18.325816852513057,3.4055319678261498
89,PLSRegression,"['GPA', 'High School', 'Weighted GPA']",8.172768831383769,2.306465525252244,19.523569009045065,3.454213187303953
90,PLSRegression,"['STEM', 'Major', 'High School']",11.700340327648856,2.738528878221799,16.48351395648025,3.3245157472997175
91,PLSRegression,"['Reviewer', 'Major', 'High School']",11.775222478015829,2.73294575922941,17.921046684569795,3.476021356068249
92,PLSRegression,"['GPA', 'Major', 'High School']",5.053501095058716,1.6454484811769092,23.397659194912112,3.7290725969748064
93,PLSRegression,"['High School', 'Major', 'Weighted GPA']",11.13469571516627,2.592670929497224,17.037400153261444,3.2818203527101817
94,PLSRegression,"['STEM', 'University', 'High School']",5.928862007796193,1.9476058859972851,21.413414190495512,3.787101727023594
95,PLSRegression,"['Reviewer', 'University', 'High School']",6.742693073287578,2.007318771566174,22.219017041772975,3.864767535003513
96,PLSRegression,"['GPA', 'University', 'High School']",5.164675778798395,1.8035040231359776,21.614511764861504,3.647193310464782
97,PLSRegression,"['High School', 'University', 'Weighted GPA']",5.864974931361018,1.8934943572060283,21.44283687672857,3.6864567850094034
98,PLSRegression,"['Major', 'University', 'High School']",6.5981061028194885,2.0161484423596185,26.744070179736568,4.241317773238295
99,PLSRegression,"['STEM', 'Reviewer']",19.679122325329345,3.6271055072822436,20.819262297707606,4.065367059626308
100,PLSRegression,"['GPA', 'STEM']",19.772267648783174,3.61240097958136,21.417151545714614,3.9922913498125765
101,PLSRegression,"['GPA', 'Reviewer']",19.278252065508553,3.6370878963915403,23.51112776954951,4.211334072834474
102,PLSRegression,"['STEM', 'Weighted GPA']",17.620218376185363,3.395254704504521,17.64792273866411,3.5559969839883365
103,PLSRegression,"['Reviewer', 'Weighted GPA']",17.269720166710037,3.367231485352471,19.76321789902628,3.7780846128522834
104,PLSRegression,"['GPA', 'Weighted GPA']",18.71318631204675,3.613936198229335,20.93474057009662,3.8392115674317613
105,PLSRegression,"['STEM', 'Major']",19.65003286111831,3.6699818529678145,26.726818405258054,4.4669548201571825
106,PLSRegression,"['Reviewer', 'Major']",20.604265039792566,3.7611934077958793,29.881890997601467,4.793966303135145
107,PLSRegression,"['GPA', 'Major']",19.444542636016592,3.6475903408994865,31.34592446274267,4.676121475093139
108,PLSRegression,"['Major', 'Weighted GPA']",16.93948834533994,3.398890861027856,22.401923601873946,3.8842516539098297
109,PLSRegression,"['STEM', 'University']",13.65205216831636,2.91598873736864,27.732059436141945,4.461105656148902
110,PLSRegression,"['Reviewer', 'University']",13.143495096961493,2.787496689716409,27.175031188262327,4.491807401191032
111,PLSRegression,"['GPA', 'University']",14.400840958570921,3.012849769453856,32.06951797594137,4.844311386759055
112,PLSRegression,"['University', 'Weighted GPA']",12.921227482544248,2.8844653309952726,23.874892676737556,4.013530357802726
113,PLSRegression,"['Major', 'University']",20.20407586938967,3.6506074828187236,35.03714631904397,4.8985147819293395
114,PLSRegression,"['STEM', 'High School']",6.795077634599076,2.0660941819502545,22.807751391698652,3.601470748695288
115,PLSRegression,"['Reviewer', 'High School']",7.6191554495860405,2.1571561375185127,20.952051530065606,3.643498616758839
116,PLSRegression,"['GPA', 'High School']",5.65467313567423,1.7378538634474066,25.47303698184389,3.678747407588586
117,PLSRegression,"['High School', 'Weighted GPA']",6.894869053265756,2.0400445286396502,21.011642139956823,3.515386436560952
118,PLSRegression,"['Major', 'High School']",13.195337409291875,2.9018410374986146,20.743923005930494,3.6868722017386677
119,PLSRegression,"['University', 'High School']",5.524921696827688,1.886808144322719,24.406120365334782,3.874303745658322
120,PLSRegression,['STEM'],22.583029571780614,3.9279108328556007,23.149729117484103,4.184312779144893
121,PLSRegression,['Reviewer'],20.979325018484484,3.800351845774938,25.2850077412365,4.440219104977033
122,PLSRegression,['GPA'],22.610357233596954,3.9435783958672035,27.64589143681687,4.633990030003184
123,PLSRegression,['Weighted GPA'],18.649256557028654,3.59984140685451,20.57807171184054,3.7776708676757176
124,PLSRegression,,-1.0,-1.0,-1.0,-1.0
